,MCVA,MCVA_x,MCVA_y,GC,GC_x,GC_y,TS,x,y,LE,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
0,0.0832,0.2946,-0.1281,0.8744,0.5208,1.343,0.4731,-0.4089,48.3066,121.757,4,0.051395321,69,4,0.581282283,0.642241287,4.328665277,0.114834011
1,0.0747,0.291,-0.1416,0.8914,0.5306,1.3748,0.4751,-1.296,48.7887,96.768,4,0.065251925,85,10,0.808340603,0.335616426,4.216890664,0.895239825
2,0.0785,0.2926,-0.1355,0.8815,0.522,1.3524,0.4668,-1.8966,48.2359,21.447,3,0.050199978,107,7,0.683083448,0.654924123,1.697761848,0.23893852
3,0.0732,0.2947,-0.1483,0.8845,0.519,1.3769,0.4702,-0.8337,48.4713,98.343,3,0.080630237,50,3,0.933446097,0.470565388,1.515560238,0.329084245
4,0.0779,0.2972,-0.1415,0.8834,0.5151,1.3788,0.4725,-1.1202,47.4847,92.025,3,0.052915032,90,8,0.631945149,0.353604257,0.15570181,0.255755745
5,0.0813,0.2887,-0.1261,0.8732,0.5274,1.3345,0.47,-2.2,48.4058,41.198,3,0.061437817,58,3,0.852752199,0.616114949,4.186100222,0.942714529
6,0.0858,0.3055,-0.1338,0.8675,0.5047,1.3543,0.4807,-2.3656,48.1434,28.181,3,0.05324692,83,3,0.945993025,0.30745762,1.468357637,0.688628245
7,0.0776,0.2928,-0.1377,0.8841,0.5229,1.371,0.4701,-2.0809,47.8316,25.749,3,0.075012751,59,5,0.527860387,0.749240141,1.93976378,0.462995264
8,0.0908,0.3007,-0.119,0.8581,0.51,1.3242,0.4667,-2.0091,48.2636,22.862,3,0.05116615,75,3,0.680407999,0.74755437,3.104823156,0.374007764
9,0.0879,0.3,-0.1243,0.8651,0.5151,1.3353,0.4803,-2.5695,48.3339,51.686,4,0.053942006,80,5,0.776823144,0.453328154,4.891666768,0.907634867
10,0.0771,0.2911,-0.1369,0.8882,0.5269,1.3656,0.4703,-1.511,48.3922,52.327,3,0.070993299,67,8,0.838635282,0.639948221,4.473340506,0.683136104
11,0.0794,0.301,-0.1422,0.8878,0.5122,1.3876,0.4738,-2.8356,48.4685,76.378,5,0.072740081,56,10,0.727131229,0.221360984,3.009850961,0.59134793
12,0.0793,0.294,-0.1353,0.8779,0.5194,1.3541,0.47,-1.8254,48.132,15.881,3,0.051870643,72,9,0.779808254,0.750635818,4.965769228,0.19658217
13,0.0775,0.2965,-0.1414,0.8815,0.5182,1.3688,0.475,-1.8196,48.1218,15.709,3,0.050333256,88,8,0.810420526,0.32496185,0.095050536,0.754431694
14,0.0827,0.2931,-0.1277,0.8728,0.5205,1.3448,0.4707,-2.1464,48.4809,48.122,3,0.081478427,56,2,0.762295165,0.429708259,4.893222017,0.712678868
15,0.0822,0.2929,-0.1284,0.8721,0.5199,1.3386,0.4668,-2.179,48.1434,15.838,3,0.050307412,94,6,0.669434604,0.641599955,3.361081668,0.258650155
16,0.0822,0.3024,-0.1381,0.874,0.5103,1.3599,0.4779,-1.4355,48.3729,55.02,3,0.069230475,82,5,0.975094766,0.340573974,0.024966057,0.086208829
17,0.0821,0.2941,-0.13,0.8789,0.5211,1.3584,0.4695,-1.4931,48.6764,78.592,3,0.050178961,66,9,0.820590507,0.402530656,1.913007818,0.40001735
18,0.0829,0.2976,-0.1319,0.8777,0.5188,1.3646,0.4656,-1.4343,48.673,80.465,3,0.087609753,50,4,0.634392971,0.736831818,2.875273655,0.085430769
19,0.0765,0.2894,-0.1365,0.8872,0.527,1.3635,0.4727,-1.1184,48.4526,79.157,3,0.050827271,88,6,0.561407325,0.617803116,1.580590348,0.843139045
20,0.0844,0.2968,-0.128,0.8715,0.5172,1.3443,0.4716,-1.7309,48.4622,49.414,3,0.063952008,67,7,0.848906274,0.396200053,2.655391233,0.351548981
21,0.0868,0.3033,-0.1297,0.8644,0.5079,1.3358,0.4805,-2.0151,48.2964,26.513,3,0.070713791,82,5,0.944007311,0.330635174,1.779541243,0.81123823
22,0.0817,0.2942,-0.1308,0.8779,0.5187,1.3616,0.4752,-1.8793,48.3594,34.851,3,0.079010694,56,5,0.757974481,0.381223336,3.054873045,0.435916037
23,0.0798,0.2871,-0.1274,0.8824,0.5281,1.3476,0.4684,-1.7209,48.1285,22.739,3,0.093573232,51,2,0.985140801,0.691070987,1.605500796,0.7817791
24,0.0788,0.2935,-0.1359,0.8776,0.5196,1.3592,0.4703,-2.5213,48.7492,85.68,3,0.065823381,57,3,0.79406876,0.407654964,2.586459824,0.032253397
25,0.0733,0.287,-0.1404,0.8892,0.5306,1.3616,0.4718,-1.6605,47.662,51.11,3,0.060762506,141,5,0.950686028,0.540277096,4.645719818,0.992168149
26,0.0672,0.2853,-0.1509,0.9068,0.5361,1.3995,0.4675,-1.633,47.9231,31.702,3,0.055139568,222,5,0.953752874,0.416909979,4.901726205,0.428043423
27,0.0784,0.2868,-0.1301,0.8794,0.5319,1.3354,0.4774,-1.759,47.9082,24.935,3,0.064514895,80,7,0.727150255,0.310121417,2.94051758,0.687465164
28,0.0808,0.3009,-0.1392,0.8729,0.5123,1.3565,0.4726,-1.6498,48.1243,27.628,3,0.052794401,88,10,0.686250317,0.40109789,1.062997958,0.5649766
29,0.0765,0.2911,-0.1382,0.8796,0.5208,1.3608,0.4677,-1.989,47.9495,12.15,3,0.068206343,51,9,0.79812495,0.562467233,3.70550798,0.322118052
30,0.0808,0.2917,-0.1301,0.8783,0.526,1.347,0.4677,-1.704,48.1955,27.274,3,0.050395733,109,4,0.713313564,0.662111939,3.10790897,0.715049998
31,0.0636,0.2865,-0.1593,0.9178,0.5334,1.4253,0.474,-1.078,47.7716,76.296,3,0.051001107,199,9,0.602944553,0.416443243,0.284560415,0.35440025
32,0.0858,0.2933,-0.1216,0.8671,0.52,1.3316,0.4741,-0.7565,48.2943,96.466,3,0.090004826,50,8,0.747621037,0.423816611,3.27376584,0.294937312
33,0.0813,0.301,-0.1383,0.8753,0.5111,1.3616,0.4745,-2.1124,48.0541,7.749,3,0.064371696,86,2,0.683040162,0.412374857,0.656292756,0.890459369
34,0.0801,0.2955,-0.1354,0.8809,0.5194,1.3654,0.4782,-0.6762,47.9387,99.999,3,0.050533603,135,3,0.802253422,0.333742114,1.681370169,0.495234397
35,0.0812,0.3018,-0.1393,0.8787,0.5132,1.3633,0.4734,-2.8325,47.5969,80.09,3,0.070121286,105,6,0.897626962,0.151992653,1.379780229,0.312789542
36,0.0714,0.288,-0.1451,0.8986,0.529,1.3878,0.4759,-1.3931,48.6756,82.349,3,0.065254142,104,7,0.597495644,0.443325421,3.997639724,0.220853384
37,0.0845,0.2992,-0.1302,0.869,0.5135,1.3481,0.4736,-1.6728,48.4782,52.913,3,0.068273504,57,5,0.755731286,0.390961248,4.689187938,0.860207151
38,0.0825,0.2963,-0.1313,0.8713,0.5184,1.3445,0.4776,-2.2224,48.2617,27.663,3,0.057890269,92,7,0.982161474,0.455558066,4.066681122,0.791149992
39,0.0816,0.2988,-0.1356,0.875,0.515,1.3574,0.4713,-1.7118,47.9093,27.575,3,0.073333893,90,7,0.801561709,0.363059908,2.797651587,0.162070458
40,0.0782,0.2828,-0.1264,0.8877,0.5362,1.3509,0.4743,-0.5158,48.2182,112.172,3,0.086069856,100,3,0.738765839,0.403704431,1.887292843,0.918645557
41,0.0667,0.2888,-0.1555,0.9026,0.5255,1.4018,0.4757,-2.5094,48.2531,43.039,3,0.078528324,103,7,0.998718743,0.327199891,1.38661308,0.238780021
42,0.0822,0.2913,-0.127,0.8709,0.5214,1.3347,0.4711,-0.5049,48.766,136.049,3,0.102661184,50,2,0.865090126,0.389138908,0.771067005,0.391681172
43,0.0843,0.298,-0.1293,0.868,0.5149,1.3431,0.4694,-0.2887,48.404,133.051,3,0.080395035,58,9,0.853968614,0.357188637,2.193366706,0.012142889
44,0.0838,0.3074,-0.1398,0.8781,0.5054,1.3834,0.4716,-4.0101,48.3715,152.357,4,0.058794106,61,2,0.783478866,0.227002435,0.524629589,0.037700982
45,0.0822,0.2975,-0.133,0.8723,0.5144,1.3509,0.4718,-1.99,48.8057,83.151,3,0.063839847,57,6,0.994390266,0.367757584,2.350606918,0.612970206
46,0.0828,0.2941,-0.1285,0.8714,0.518,1.3426,0.4747,-1.0092,48.5285,90.554,3,0.095975455,56,5,0.958119685,0.389519881,1.87915256,0.151956565
