空气伽马剂量率 间隔30s  (mSv/h)
计算时间(s)
30,0
60,0
90,0
120,0
150,2.5083792806486E-07
180,1.21571018624905E-06
210,2.60446337110873E-06
240,3.65604274410812E-06
270,4.21857204711206E-06
300,4.46542196969973E-06
330,4.56061033020204E-06
360,4.59616575921531E-06
390,4.61157340889366E-06
420,4.61776792191875E-06
450,4.61993596682804E-06
480,4.62077245964544E-06
510,4.62112184203902E-06
540,4.62127772744724E-06
570,4.62135128058287E-06
600,4.62138769617008E-06
630,4.402958343378E-06
660,4.15769043964931E-06
690,3.93750198921649E-06
720,3.71558360347064E-06
750,3.43661323030329E-06
780,3.23192599820523E-06
810,3.02507912737962E-06
840,2.96336779748527E-06
870,2.97860549274006E-06
900,3.02325729063645E-06
930,3.05732416059324E-06
960,3.07774401461361E-06
990,3.08764845138414E-06
1020,3.09251644908882E-06
1050,3.09500450915149E-06
1080,3.0963287287597E-06
1110,3.0968802410895E-06
1140,3.09712199283851E-06
1170,3.09723174499473E-06
1200,3.0972819641233E-06
1230,3.40929956793436E-06
1260,3.76484078870965E-06
1290,4.25287839013062E-06
1320,4.6922703570485E-06
1350,5.19700042538555E-06
1380,5.75029772655365E-06
1410,6.19040630579255E-06
1440,6.28170593775118E-06
1470,6.19610684327863E-06
1500,6.12173593011539E-06
1530,6.0930221853689E-06
1560,6.08167736842059E-06
1590,6.07867185343531E-06
1620,6.07775468983228E-06
1650,6.07732263402562E-06
1680,6.07721462653124E-06
1710,6.07717546158264E-06
1740,6.07717546158264E-06
1770,6.07717546158264E-06
1800,6.07717546158264E-06
1830,5.02710451018788E-06
1860,4.15546374695582E-06
1890,3.46397292917413E-06
1920,2.89536121187859E-06
1950,2.42035512868874E-06
1980,2.02359466837544E-06
2010,1.75311345097177E-06
2040,1.60589571482112E-06
2070,1.5438528105236E-06
2100,1.5243304679951E-06
2130,1.51763738463657E-06
2160,1.51494771419205E-06
2190,1.51419323509434E-06
2220,1.51396148295108E-06
2250,1.5138877381212E-06
2280,1.51362254898581E-06
2310,1.51362254898581E-06
2340,1.51362254898581E-06
2370,1.51362254898581E-06
2400,1.51362254898581E-06
2430,1.44443376671294E-06
2460,1.38166272225696E-06
2490,1.32389265946341E-06
2520,1.25928653585583E-06
2550,1.1961558585329E-06
2580,1.14176625896675E-06
2610,1.10742475995022E-06
2640,1.09639842016523E-06
2670,1.09635233231306E-06
2700,1.09780392512028E-06
2730,1.09879422720451E-06
2760,1.09930915174175E-06
2790,1.09953742919535E-06
2820,1.09962153610582E-06
2850,1.09964640346088E-06
2880,1.09964640346088E-06
2910,1.09964640346088E-06
2940,1.09964640346088E-06
2970,1.09964640346088E-06
3000,1.09964640346088E-06
3030,1.15397206204594E-06
3060,1.21182251713237E-06
3090,1.27250310119391E-06
3120,1.27785107775168E-06
3150,1.34182881698779E-06
3180,1.40906270968007E-06
3210,1.47738747923275E-06
3240,1.54645434222189E-06
3270,1.59827510831186E-06
3300,1.63062140648297E-06
3330,1.64477918201226E-06
3360,1.65102627325498E-06
3390,1.6539721590573E-06
3420,1.65550865234444E-06
3450,1.65605980536192E-06
3480,1.65625667728281E-06
3510,1.65662411343285E-06
3540,1.65664964145464E-06
3570,1.65664964145464E-06
3600,1.65664964145464E-06
3630,1.4413557983042E-06
3660,1.22519823370893E-06
3690,1.04528100217236E-06
3720,8.97918664990414E-07
3750,7.76148220795224E-07
3780,6.72468545849288E-07
3810,5.85603083433735E-07
3840,5.33528656028609E-07
3870,5.03348077022482E-07
3900,4.8888871691354E-07
3930,4.82218338268156E-07
3960,4.7787708930005E-07
3990,4.76330905935417E-07
4020,4.75792847498784E-07
4050,4.7466796228206E-07
4080,4.7466796228206E-07
4110,4.7466796228206E-07
4140,4.7466796228206E-07
4170,4.7466796228206E-07
4200,4.7466796228206E-07
4230,5.09048318601377E-07
4260,5.33822175406982E-07
4290,6.29575522190927E-07
4320,6.80764583122758E-07
4350,7.29820515563049E-07
4380,6.94772278915723E-07
4410,6.40625535145452E-07
4440,6.11590470391352E-07
4470,6.04822279276865E-07
4500,5.99895899742636E-07
4530,5.99895899742636E-07
4560,5.99895899742636E-07
4590,5.99895899742636E-07
4620,5.99895899742636E-07
4650,5.99895899742636E-07
4680,5.99895899742636E-07
4710,5.99895899742636E-07
4740,5.99895899742636E-07
4770,5.99895899742636E-07
4800,5.99895899742636E-07
4830,5.0031091584452E-07
4860,4.03040556481744E-07
4890,3.276489527088E-07
4920,2.68597716015938E-07
4950,1.73837826791844E-07
4980,1.45481938257345E-07
5010,1.33835888995985E-07
5040,1.30750554494114E-07
5070,1.30182794930336E-07
5100,1.30182794930336E-07
5130,1.30182794930336E-07
5160,1.30182794930336E-07
5190,1.30182794930336E-07
5220,1.30182794930336E-07
5250,1.30182794930336E-07
5280,1.30182794930336E-07
5310,1.30182794930336E-07
5340,1.30182794930336E-07
5370,1.30182794930336E-07
5400,1.30182794930336E-07
5430,1.48850302416432E-07
5460,1.74117256592011E-07
5490,1.97903861770111E-07
5520,2.24582335727343E-07
5550,2.53087684164856E-07
5580,2.84325180405731E-07
5610,3.19009842454718E-07
5640,3.48694837411782E-07
5670,3.66042601838672E-07
5700,3.76101083047614E-07
5730,3.79032589180341E-07
5760,3.80017479843959E-07
5790,3.80017479843959E-07
5820,3.80017479843959E-07
5850,3.80017479843959E-07
5880,3.80017479843959E-07
5910,3.80017479843959E-07
5940,3.80017479843959E-07
5970,3.80017479843959E-07
6000,3.80017479843959E-07
6030,2.92082787465221E-07
6060,2.22622840194419E-07
