,MCV,MCV_x,MCV_y,GC,GC_x,GC_y,TS,x,y,GE,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
0,0.8215,0.7905,0.8525,0.0331,0.0471,0.0223,0.866,4564.9233,7623.4814,2.4826,5,0.070953744,242,10,0.538225384,0.985112643,3.431061059,0.475671446
1,0.8232,0.7857,0.8606,0.0336,0.0507,0.0202,0.858,4563.3706,7623.233,2.7642,6,0.13147918,121,10,0.524926596,0.91238521,4.405836118,0.195425698
2,0.8209,0.8008,0.841,0.0339,0.0441,0.0267,0.8642,4565.31,7624.156,3.171,7,0.155748889,102,9,0.500086419,0.801589608,1.434835339,0.980144576
3,0.8102,0.7727,0.8477,0.0381,0.0566,0.0237,0.8685,4566.018,7624.2334,3.3899,7,0.10177806,245,9,0.50620971,0.550224013,2.84160425,0.788720371
4,0.8119,0.7857,0.838,0.037,0.0506,0.027,0.8556,4564.0674,7621.024,0.9329,6,0.159937241,88,9,0.546673115,0.938700764,0.68681197,0.822765598
5,0.8205,0.7927,0.8482,0.0347,0.0484,0.0241,0.8727,4564.2896,7623.457,2.5577,6,0.07483497,221,7,0.500838232,0.973518282,3.245071968,0.654685836
6,0.8206,0.785,0.8561,0.0342,0.0503,0.0215,0.8643,4565.048,7623.9463,2.9467,7,0.081910913,179,8,0.501318717,0.993024477,4.001676761,0.634577276
7,0.8219,0.7885,0.8552,0.0339,0.0495,0.0216,0.8693,4564.6606,7622.4434,1.4827,5,0.0515422,256,10,0.502785342,0.978268471,1.935942621,0.018496347
8,0.8204,0.7891,0.8516,0.0341,0.049,0.0225,0.8648,4565.403,7623.386,2.42,8,0.056441237,294,10,0.563941779,0.847802949,2.05943203,0.271145996
9,0.8188,0.7861,0.8515,0.0346,0.0498,0.0228,0.8672,4565.4727,7624.0273,3.064,4,0.076699586,281,10,0.539273013,0.978483539,4.824502558,0.272435328
10,0.8197,0.7846,0.8548,0.0342,0.05,0.0217,0.8531,4563.6997,7623.1416,2.5054,6,0.135503402,112,10,0.534059462,0.532542783,2.40912825,0.531954292
11,0.8165,0.7868,0.8462,0.0361,0.0513,0.0245,0.8611,4565.748,7622.835,1.9816,6,0.085869805,203,10,0.630457928,0.848712894,4.828647045,0.966205188
12,0.8195,0.7877,0.8513,0.0351,0.0521,0.0226,0.8674,4565.5938,7623.092,2.1744,7,0.095849268,288,10,0.502293337,0.995754323,4.499985559,0.559753529
13,0.8257,0.7975,0.8538,0.0324,0.0454,0.022,0.8635,4566.098,7623.966,3.1626,7,0.081911355,245,10,0.541885041,0.875724659,3.956631815,0.858717152
14,0.8211,0.7922,0.85,0.0341,0.0473,0.0235,0.8649,4564.1396,7623.8984,3.0234,7,0.074742877,174,7,0.511742133,0.965605193,2.97146458,0.928061863
15,0.8237,0.7908,0.8567,0.0331,0.0477,0.0215,0.8701,4565.4087,7623.3447,2.3801,5,0.080185887,212,9,0.502282291,0.984344316,4.456856996,0.417159087
16,0.8247,0.7953,0.8542,0.0328,0.0464,0.0221,0.8736,4564.0425,7622.9062,2.1332,8,0.076424622,205,9,0.520405579,0.846917944,4.460483973,0.41196414
17,0.8247,0.7891,0.8603,0.0325,0.0489,0.0202,0.8649,4566.4546,7623.665,3.0362,8,0.083154331,218,10,0.565304969,0.927831472,4.491375538,0.693850073
18,0.8153,0.7867,0.8438,0.0359,0.0501,0.0247,0.8557,4565.122,7624.0815,3.084,7,0.097602273,171,10,0.579988602,0.743186533,0.767148802,0.721710584
19,0.817,0.782,0.852,0.0358,0.0522,0.0229,0.869,4564.535,7623.1914,2.2402,5,0.105932182,142,9,0.525120729,0.994105864,0.895202633,0.271312622
20,0.8221,0.7916,0.8525,0.0332,0.0467,0.0224,0.8641,4565.1855,7624.5054,3.5103,8,0.070790763,185,9,0.504694849,0.873779576,1.085593328,0.254435262
21,0.8148,0.7841,0.8455,0.0364,0.0516,0.0245,0.8635,4565.55,7624.218,3.2644,6,0.113661084,183,9,0.574345072,0.77738742,3.160444682,0.93374156
22,0.8209,0.791,0.8507,0.0345,0.049,0.0231,0.8592,4564.9556,7625.5034,4.5036,6,0.111572746,254,9,0.520165482,0.974889934,1.908156075,0.796655382
23,0.8115,0.7828,0.8402,0.0373,0.0514,0.0259,0.8561,4563.814,7623.988,3.2146,7,0.112550423,188,8,0.507962357,0.748806333,1.664545384,0.776960313
24,0.807,0.7695,0.8445,0.039,0.0574,0.0245,0.8542,4565.085,7622.4375,1.44,7,0.181931168,79,10,0.686631309,0.99815672,2.791390346,0.92738217
25,0.8119,0.7784,0.8454,0.0371,0.0538,0.0243,0.8402,4564.4507,7622.5137,1.6103,5,0.20795325,137,10,0.600993314,0.374421798,4.725679266,0.010129131
26,0.8204,0.7881,0.8526,0.0341,0.0493,0.0224,0.8641,4566.0293,7623.268,2.4907,5,0.080386097,208,10,0.552446581,0.851631874,2.685944152,0.572022959
