,MCV,MCV_x,MCV_y,GC,GC_x,GC_y,TS,x,y,GE,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
0,0.7778,0.7331,0.8224,0.0548,0.0818,0.0337,0.8461,4565.493,7624.9346,3.9654,5,0.160695615,158,10,0.794384926,0.796127516,4.140797439,0.349563343
1,0.7794,0.7362,0.8226,0.0522,0.0759,0.0331,0.8441,4563.851,7626.8823,5.9935,8,0.165065768,198,10,0.513720049,0.858636951,4.026536984,0.542494451
2,0.7761,0.7339,0.8182,0.0553,0.0824,0.0345,0.8693,4566.6484,7624.5312,3.8971,8,0.050268582,286,10,0.666679816,0.473116349,0.047677666,0.506334724
3,0.7899,0.749,0.8308,0.0494,0.0732,0.0307,0.8542,4564.2593,7623.8457,2.9405,8,0.050948283,215,10,0.595746718,0.820422685,3.001106217,0.646489267
4,0.7764,0.7485,0.8043,0.0535,0.0685,0.0406,0.8327,4566.8735,7627.788,7.0419,7,0.193423031,117,10,0.558662564,0.374685189,4.809344827,0.600336185
5,0.7854,0.7395,0.8313,0.0501,0.0764,0.03,0.855,4564.1895,7623.68,2.8001,8,0.09895706,227,9,0.601705776,0.83170813,3.975754638,0.415043153
6,0.7876,0.7384,0.8368,0.0499,0.0778,0.0284,0.8666,4565.338,7623.5024,2.5252,7,0.078588555,204,9,0.602294802,0.553478105,3.953961318,0.459767393
7,0.7886,0.7428,0.8343,0.0495,0.0752,0.0294,0.8677,4564.9766,7625.618,4.6182,7,0.078003108,201,10,0.609431067,0.811179842,4.777468369,0.73590332
8,0.7825,0.7292,0.8359,0.0528,0.0847,0.0294,0.8729,4564.349,7624.9766,4.0295,5,0.107176921,168,9,0.566642432,0.819025278,4.002701398,0.922189604
9,0.7842,0.7485,0.8199,0.0505,0.0715,0.0339,0.8617,4565.2505,7623.9966,3.007,5,0.076914998,275,10,0.554945147,0.84992159,1.753724262,0.031554077
10,0.7892,0.7553,0.8231,0.049,0.0682,0.0333,0.8606,4564.435,7625.2993,4.3363,7,0.056399362,251,10,0.520142594,0.771491245,3.458059181,0.329803636
11,0.7873,0.7417,0.833,0.0501,0.0765,0.0296,0.8565,4566.162,7623.8726,3.0987,8,0.08598513,179,7,0.537772974,0.629560462,4.66423866,0.310760155
12,0.7749,0.7305,0.8192,0.0553,0.082,0.0346,0.8428,4564.39,7626.293,5.328,5,0.160398523,165,10,0.616289585,0.990481032,3.256745449,0.652321603
13,0.7951,0.7558,0.8343,0.0463,0.0693,0.0287,0.8645,4564.8003,7624.5054,3.5111,6,0.05827733,281,10,0.558211743,0.630915189,4.948394318,0.998614729
14,0.7868,0.7495,0.8241,0.0503,0.0734,0.0325,0.8475,4565.448,7623.592,2.6303,7,0.138496653,107,9,0.501416915,0.74410467,4.378307323,0.891141084
15,0.7918,0.7527,0.8309,0.0474,0.0687,0.0306,0.8701,4566.293,7624.1655,3.4194,7,0.069296007,269,10,0.602115011,0.466503206,4.381743016,0.743093665
16,0.7799,0.7324,0.8275,0.0528,0.0799,0.0316,0.8439,4564.229,7623.152,2.2858,7,0.135241657,124,9,0.648337564,0.533170453,4.231883622,0.379900732
17,0.7819,0.7503,0.8135,0.0512,0.0682,0.0373,0.8446,4563.5786,7624.9985,4.2437,4,0.17325798,91,10,0.567149223,0.865574744,4.814528488,0.416249433
18,0.7819,0.7402,0.8236,0.052,0.0759,0.0333,0.8665,4564.0737,7626.6367,5.7123,7,0.116838247,281,10,0.57328048,0.646868204,4.308761431,0.197477749
19,0.7798,0.7349,0.8246,0.0535,0.0809,0.0323,0.846,4564.9014,7625.8735,4.8745,7,0.155327702,158,9,0.639749754,0.685546719,3.528570763,0.558243807
20,0.7889,0.7496,0.8282,0.0479,0.0686,0.0312,0.8607,4565.3423,7624.5977,3.6139,5,0.121790292,188,10,0.557849756,0.890475958,4.983920291,0.218249462
21,0.7877,0.7453,0.8302,0.0494,0.0734,0.0308,0.8595,4564.988,7624.1265,3.1265,7,0.058073039,261,9,0.608379923,0.628234946,2.183554959,0.131559585
22,0.7828,0.7483,0.8173,0.0532,0.0744,0.0362,0.8552,4565.1387,7624.041,3.0442,8,0.055031559,208,7,0.559401191,0.489935596,1.810676241,0.054904113
23,0.7907,0.7494,0.832,0.0484,0.0703,0.0308,0.8515,4565.016,7625.7705,4.7705,8,0.118943761,172,10,0.544386735,0.622994874,2.842486678,0.625012262
24,0.7829,0.7429,0.823,0.0516,0.0748,0.0333,0.8647,4564.804,7624.436,3.4416,7,0.066951609,248,10,0.687367343,0.917384899,4.396736936,0.399058024
25,0.7792,0.7396,0.8188,0.0529,0.0753,0.0346,0.8453,4566.26,7625.7153,4.8807,6,0.126167909,135,7,0.510704783,0.734941001,1.223295153,0.376260075
26,0.7937,0.7592,0.8282,0.0463,0.0655,0.0313,0.862,4566.2554,7623.972,3.2264,6,0.063479353,229,9,0.536680484,0.524153447,4.547275516,0.464114404
27,0.7893,0.7481,0.8305,0.0495,0.0732,0.0309,0.8586,4564.0757,7625.252,4.3513,6,0.050365979,291,10,0.698802792,0.594546954,3.107877945,0.630549246
28,0.7867,0.7482,0.8252,0.0501,0.0719,0.0326,0.8674,4564.861,7625.156,4.1581,7,0.0760699,232,9,0.539543666,0.608150813,4.786982465,0.063432645
29,0.7848,0.7468,0.8229,0.0519,0.0739,0.034,0.8597,4566.102,7625.187,4.3296,8,0.062926318,168,10,0.566185617,0.528090448,0.559680021,0.639292872
30,0.781,0.7321,0.83,0.0531,0.0834,0.0309,0.861,4565.604,7625.484,4.5244,8,0.089328912,125,9,0.513234003,0.901595767,1.130925229,0.355285325
31,0.7773,0.7339,0.8207,0.0549,0.081,0.0343,0.8378,4564.4087,7622.975,2.0617,8,0.162080872,211,9,0.506008094,0.77509611,4.21320639,0.547320664
32,0.7847,0.7373,0.8321,0.0514,0.0799,0.0298,0.8568,4564.3184,7624.264,3.3346,6,0.05534819,264,10,0.769934576,0.878867085,4.982729229,0.181123691
33,0.781,0.739,0.8229,0.0525,0.0776,0.0331,0.8554,4564.3594,7625.921,4.9624,5,0.110293941,135,9,0.538585538,0.998884307,4.261701829,0.18392272
34,0.7828,0.7417,0.8238,0.0511,0.074,0.0328,0.8514,4565.075,7623.472,2.4733,8,0.082884432,170,10,0.622360944,0.798829553,0.01332701,0.014908795
35,0.7825,0.7418,0.8233,0.0517,0.0757,0.0327,0.8647,4564.9604,7624.231,3.2312,7,0.072476968,169,9,0.575560004,0.7115106,3.416841236,0.46738916
36,0.7883,0.7445,0.8321,0.0506,0.0765,0.0305,0.8619,4563.504,7623.851,3.2198,8,0.0507454,294,10,0.570525246,0.568895479,4.198479647,0.077210306
37,0.7806,0.7336,0.8275,0.053,0.0813,0.0314,0.8602,4565.839,7624.3774,3.4801,8,0.053999359,271,10,0.660908152,0.924659064,2.201966055,0.761825973
38,0.7921,0.7511,0.833,0.0477,0.0706,0.0295,0.8607,4564.6777,7623.831,2.8493,6,0.067612482,209,9,0.524828638,0.735905017,2.725745681,0.685860532
39,0.7852,0.7508,0.8197,0.0507,0.0723,0.034,0.8645,4564.803,7624.45,3.4558,6,0.058710357,282,8,0.562743807,0.641938781,4.979183817,0.658824032
40,0.783,0.7445,0.8215,0.0508,0.0738,0.0329,0.8657,4565.362,7624.5034,3.5221,6,0.086390701,248,9,0.537783811,0.780282515,4.538920684,0.691043441
41,0.7826,0.7499,0.8154,0.0515,0.0703,0.0361,0.8502,4562.9775,7624.3486,3.912,8,0.109204536,224,9,0.500114123,0.932161513,0.669547679,0.42056661
42,0.7903,0.7433,0.8373,0.0486,0.0753,0.0281,0.8647,4566.2476,7624.1753,3.4116,7,0.077873446,269,9,0.59539246,0.548429942,2.87728309,0.423654996
43,0.7837,0.7413,0.826,0.053,0.0795,0.0326,0.8581,4566.932,7624.8394,4.2981,6,0.061129555,184,10,0.589109883,0.451559987,0.465769287,0.951174215
44,0.7846,0.7333,0.8358,0.0516,0.0818,0.029,0.8634,4565.6714,7624.1504,3.2211,8,0.103393962,132,9,0.524338475,0.767509302,0.895805791,0.601133889
45,0.788,0.7532,0.8228,0.0492,0.0691,0.0332,0.8643,4565.547,7624.7954,3.8346,6,0.061172068,256,9,0.539102698,0.637856084,3.571902794,0.629777615
46,0.7954,0.7641,0.8266,0.0463,0.0639,0.032,0.8579,4567.465,7625.5215,5.1497,7,0.066729042,257,10,0.53995141,0.437805419,3.882278172,0.445310146
47,0.784,0.7404,0.8276,0.0517,0.0784,0.0317,0.8433,4564.744,7625.335,4.3425,8,0.10888234,209,8,0.62072568,0.681138703,2.157139487,0.376929931
48,0.7765,0.7307,0.8224,0.0559,0.0843,0.0342,0.8403,4564.694,7626.156,5.1648,8,0.136592238,236,10,0.726923176,0.729280886,0.551038846,0.95253683
