,MCVA,MCVA_x,MCVA_y,GC,GC_x,GC_y,TS,x,y,LE,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
0,0.3728,0.3429,0.4028,0.4473,0.5417,0.4794,0.8627,-2.2627,48.902,95.703,8,0.172519486,127,7,0.586507927,0.606466918,4.02983745,0.607244745
1,0.379,0.335,0.4229,0.4294,0.5472,0.3928,0.8474,-0.5785,47.9155,107.582,8,0.229882823,68,9,0.548114346,0.913210095,2.291799798,0.128516334
2,0.3684,0.3576,0.3792,0.4551,0.5012,0.4971,0.8701,-0.5805,47.2726,138.051,8,0.100022821,213,10,0.752381369,0.64053176,4.996531423,0.107775985
3,0.3737,0.3445,0.4028,0.4421,0.5337,0.4529,0.8561,-2.8229,47.727,71.017,4,0.123655563,147,5,0.87463408,0.831190563,0.630851008,0.269948313
4,0.3769,0.3674,0.3863,0.428,0.4911,0.466,0.8444,-0.537,49.1896,165.906,5,0.234411975,297,7,0.972660416,0.366750019,0.344888881,0.99033653
5,0.3779,0.3618,0.394,0.4445,0.4754,0.5383,0.8422,-0.5694,48.2496,108.844,4,0.205333851,155,4,0.639739295,0.565256544,2.633166508,0.381769144
6,0.3782,0.3682,0.3882,0.4392,0.4888,0.4863,0.8614,-1.587,48.2764,39.573,5,0.106409769,151,3,0.760939075,0.793901688,0.980246701,0.961597188
7,0.3723,0.3675,0.3772,0.4424,0.491,0.5039,0.8451,-1.3916,48.7558,89.959,4,0.172902377,222,4,0.5558919,0.762841188,1.621909189,0.473789202
8,0.3733,0.3698,0.3768,0.4396,0.4611,0.4995,0.8525,0.8411,48.3767,214.052,4,0.058549768,160,3,0.888181432,0.797813559,4.98019163,0.849826595
9,0.38,0.3426,0.4173,0.4333,0.5234,0.4245,0.8548,0.1735,48.8028,181.021,4,0.117405398,184,5,0.797136936,0.8320343,4.433241765,0.627774642
10,0.3654,0.3248,0.4061,0.4588,0.5566,0.4661,0.8514,-1.0978,48.9107,116.159,4,0.162664774,136,2,0.756897617,0.938177303,3.308541287,0.554808368
